clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Protoperidinium_bipes,Protoperidinium bipes,,110208,FALSE,,TRUE
Pseudo-nitzschia_spp,Pseudo-nitzschia,spp.,149151,TRUE,100000,TRUE
Pseudochattonella-like,Pseudochattonella,spp.,531445,TRUE,,TRUE
Pseudochattonella-like,Pseudochattonella,spp.,368900,TRUE,,TRUE
Pseudopedinella-like,Actinomonadaceae,,1652121,FALSE,,FALSE
Pseudosolenia_calcar-avis,Pseudosolenia calcar-avis,,163344,FALSE,,TRUE
Pyramimonas_spp_large,Pyramimonas,spp.,134529,FALSE,,TRUE
Pyramimonas_spp_small,Pyramimonas,spp.,134529,FALSE,,TRUE
Rhizosolenia_imbricata,Rhizosolenia imbricata,,149116,FALSE,,TRUE
Rhizosolenia_spp,Rhizosolenia,spp.,149069,FALSE,,TRUE
Scenedesmus_spp,Scenedesmus,spp.,160602,FALSE,,TRUE
Scrippsiella_acuminata-like,Scrippsiella,sp.,109545,FALSE,,TRUE
Scrippsiella_group,Scrippsiella,group,NA,FALSE,,TRUE
Skeletonema_spp,Skeletonema,spp.,149073,FALSE,,TRUE
Snowella-Woronichinia2,Cyanophyceae,,146542,FALSE,,FALSE
Snowella_Woronichinia,Cyanophyceae,,146542,FALSE,,FALSE
Stephanopyxis-like,Stephanopyxidaceae,,149254,FALSE,,FALSE
Striatella_spp,Striatella,spp.,149176,FALSE,,TRUE
Strombidium-like,Strombidiidae,,1703,FALSE,,FALSE
Sundstroemia_setigera,Sundstroemia setigera,,1590706,FALSE,,TRUE
Thalassionema_nitzschioides,Thalassionema nitzschioides,,149093,FALSE,,TRUE
Thalassiosira_angulata,Thalassiosira angulata,,148913,FALSE,,TRUE
Thalassiosira_anguste-lineata,Thalassiosira anguste-lineata,,148914,FALSE,,TRUE
Thalassiosira_gravida-like,Thalassiosira,,148912,FALSE,,TRUE
Thalassiosira_levanderi,Thalassiosira levanderi,,149308,FALSE,,TRUE
Thalassiosira_nordenskioeldii,Thalassiosira nordenskioeldii,,148931,FALSE,,TRUE
Thalassiosira_spp_chain,Thalassiosira,spp.,148912,FALSE,,TRUE
Thalassiosira_spp_single,Thalassiosira,spp.,148912,FALSE,,TRUE
Tintinnids,Tintinnida,,425497,FALSE,,FALSE
Torodinium_robustum,Torodinium robustum,,109889,FALSE,,TRUE
Trieres_mobiliensis,Trieres mobiliensis,,839991,FALSE,,TRUE
Tripos_furca,Tripos furca,,840627,FALSE,,TRUE
Tripos_fusus,Tripos fusus,,840626,FALSE,,TRUE
Tripos_lineatus,Tripos lineatus,,837459,FALSE,,TRUE
Tripos_longipes,Tripos longipes,,841259,FALSE,,TRUE
Tripos_muelleri,Tripos muelleri,,495363,FALSE,,TRUE
Unicells,Unicells,,1,FALSE,,FALSE
Uroglenopsis_sp,Uroglenopsis,sp.,555950,FALSE,,TRUE
Warnowia-like,Warnowiaceae,,109415,FALSE,,FALSE
Zooplankton,Crustacea,,1066,FALSE,,FALSE
mixed,Aggregate,,NA,FALSE,,FALSE
unclassified,Unclassified,,NA,FALSE,,FALSE
